unique_track,video_day,source_folder,track_id,n_frames_validos,calculated_length_cm,gt_cm,abs_error_cm,mean_elevation_deg
2024_11_28_13-14-43_0_1,2024_11_28,13-14-43_0,1,37.0,29.708273151543402,28.9,0.8082731515434034,-15.604629768780143
2024_11_28_13-14-43_0_21,2024_11_28,13-14-43_0,21,30.0,21.627347138073418,21.6,0.027347138073416488,-4.111561189043124
2024_11_28_13-14-43_0_24,2024_11_28,13-14-43_0,24,21.0,29.173901815026277,28.9,0.273901815026278,-2.270225287303895
2024_11_28_13-14-43_0_29,2024_11_28,13-14-43_0,29,38.0,28.916427701451212,21.6,7.316427701451211,-4.996262786250784
2024_11_28_13-14-43_0_37,2024_11_28,13-14-43_0,37,11.0,30.58452324106139,28.9,1.6845232410613917,-9.987159489273857
2024_11_28_13-14-43_0_45,2024_11_28,13-14-43_0,45,162.0,29.462694115552946,28.9,0.5626941155529472,-9.095684054233715
2024_11_28_13-14-43_0_77,2024_11_28,13-14-43_0,77,31.0,21.85775193537567,21.6,0.2577519353756692,-0.00985432350243343
2024_11_28_13-14-43_0_81,2024_11_28,13-14-43_0,81,6.0,21.27493997857845,21.6,0.3250600214215531,13.97151502180146
2024_11_28_13-14-43_0_82,2024_11_28,13-14-43_0,82,27.0,22.39227076273719,21.6,0.7922707627371892,-13.667229911881893
2024_11_28_13-16-54_0_1,2024_11_28,13-16-54_0,1,152.0,34.01938321183909,28.9,5.119383211839093,4.732244823176272
2024_11_28_13-16-54_0_12,2024_11_28,13-16-54_0,12,18.0,25.80537649549619,21.6,4.205376495496189,-0.7991554038391896
2024_11_28_13-16-54_0_41,2024_11_28,13-16-54_0,41,17.0,30.72753314348555,28.9,1.827533143485553,-9.765549509933786
2024_11_28_13-16-54_0_49,2024_11_28,13-16-54_0,49,24.0,29.790420996664203,28.9,0.8904209966642043,-3.397788406630454
2024_11_28_13-16-54_0_53,2024_11_28,13-16-54_0,53,159.0,34.27350791974748,28.9,5.373507919747482,5.238746247902212
2024_11_28_13-16-54_0_59,2024_11_28,13-16-54_0,59,16.0,22.58272794135663,21.6,0.9827279413566288,-10.58363052665396
2024_11_28_13-16-54_0_67,2024_11_28,13-16-54_0,67,14.0,22.59122043169878,21.6,0.9912204316987783,-0.5707866694377277
2024_11_28_13-16-54_0_68,2024_11_28,13-16-54_0,68,47.0,24.11279388638755,21.6,2.5127938863875485,-5.418373851583144
2024_11_28_13-16-54_0_71,2024_11_28,13-16-54_0,71,7.0,21.08172305387622,21.6,0.5182769461237804,-21.964277080611215
2024_11_28_13-27-52_0_1,2024_11_28,13-27-52_0,1,32.0,29.605911809805786,28.9,0.7059118098057873,2.7383997015695978
2024_11_28_13-27-52_0_2,2024_11_28,13-27-52_0,2,38.0,21.39957750416658,21.6,0.20042249583342198,-9.429870791914071
2024_11_28_13-27-52_0_6,2024_11_28,13-27-52_0,6,32.0,21.771634889668356,21.6,0.17163488966835416,-5.207864685486861
2024_11_28_13-27-52_0_8,2024_11_28,13-27-52_0,8,7.0,24.13608627711443,21.6,2.5360862771144284,22.035196809270094
2024_11_28_13-27-52_0_11,2024_11_28,13-27-52_0,11,72.0,29.581592844559783,28.9,0.6815928445597841,-2.3166231917298745
2024_11_28_13-27-52_0_12,2024_11_28,13-27-52_0,12,9.0,19.06585058959305,21.6,2.5341494104069504,13.27247230761651
2024_11_28_13-27-52_0_13,2024_11_28,13-27-52_0,13,13.0,23.323355102551098,21.6,1.7233551025510963,11.609671814907053
2024_11_28_13-27-52_0_37,2024_11_28,13-27-52_0,37,179.0,35.262481145714204,28.9,6.362481145714206,9.013524706975723
2024_11_28_13-32-16_0_17,2024_11_28,13-32-16_0,17,62.0,23.359353262315256,21.6,1.7593532623152548,1.9740168507359217
2024_11_28_13-32-16_0_25,2024_11_28,13-32-16_0,25,8.0,31.124031892192487,28.9,2.224031892192489,-14.457769357620277
2024_11_28_13-32-16_0_28,2024_11_28,13-32-16_0,28,53.0,29.359122496604446,28.9,0.45912249660444715,-14.218587222289726
2024_11_28_13-32-16_0_30,2024_11_28,13-32-16_0,30,6.0,29.90533196650495,28.9,1.0053319665049507,-4.88814237563317
2024_11_28_13-32-16_0_44,2024_11_28,13-32-16_0,44,14.0,31.50979241626679,28.9,2.6097924162667923,8.069489084537045
2024_11_28_13-32-16_0_52,2024_11_28,13-32-16_0,52,7.0,29.51219701184727,28.9,0.6121970118472717,20.945781277937275
