unique_track,video_day,source_folder,track_id,n_frames_validos,calculated_length_cm,gt_cm,abs_error_cm,mean_elevation_deg
2024_11_28_12_52_36_0_7,2024_11_28,12_52_36_0,7,124.0,28.835827269633203,28.9,0.0641727303667956,-9.5492844282046
2024_11_28_12_52_36_0_12,2024_11_28,12_52_36_0,12,33.0,30.385976484655302,28.9,1.4859764846553034,-2.6837328904800417
2024_11_28_12_52_36_0_17,2024_11_28,12_52_36_0,17,30.0,29.053652301964956,28.9,0.15365230196495716,-2.0059856587643297
2024_11_28_12_54_48_0_1,2024_11_28,12_54_48_0,1,8.0,28.4204378752303,28.9,0.47956212476969995,-11.07297350898577
2024_11_28_12_54_48_0_12,2024_11_28,12_54_48_0,12,87.0,28.80277945538078,28.9,0.09722054461921914,-9.063226022575929
2024_11_28_12_54_48_0_15,2024_11_28,12_54_48_0,15,96.0,29.103735222023065,28.9,0.2037352220230666,-3.4383702766021145
2024_11_28_12_54_48_0_19,2024_11_28,12_54_48_0,19,10.0,28.94933955342569,28.9,0.04933955342569263,-2.760281483744926
2024_11_28_12_54_48_0_24,2024_11_28,12_54_48_0,24,37.0,28.940178130136857,28.9,0.04017813013685867,0.9647462820863328
2024_11_28_12_54_48_0_27,2024_11_28,12_54_48_0,27,52.0,28.7774822136753,28.9,0.12251778632469978,-1.0992135149711595
2024_11_28_12_56_59_0_1,2024_11_28,12_56_59_0,1,137.0,29.563873788860622,28.9,0.6638737888606236,2.525204808695031
2024_11_28_12_57_50_0_1,2024_11_28,12_57_50_0,1,129.0,30.14433393453359,28.9,1.2443339345335929,-11.192796216196331
2024_11_28_12_57_50_0_2,2024_11_28,12_57_50_0,2,6.0,28.907411517784038,28.9,0.0074115177840390345,-0.9010939866991343
2024_11_28_12_58_48_0_1,2024_11_28,12_58_48_0,1,32.0,28.984209340436866,28.9,0.08420934043686756,-12.287891465058346
2024_11_28_12_58_48_0_11,2024_11_28,12_58_48_0,11,265.0,32.296576550244666,28.9,3.396576550244667,3.6922975000338663
2024_11_28_13-14-43_0_1,2024_11_28,13-14-43_0,1,34.0,29.753128233617915,28.9,0.853128233617916,-14.8538650655682
2024_11_28_13-14-43_0_21,2024_11_28,13-14-43_0,21,22.0,21.71619006718991,21.6,0.11619006718990832,-3.179511577513195
2024_11_28_13-14-43_0_24,2024_11_28,13-14-43_0,24,21.0,29.173901815026277,28.9,0.273901815026278,-2.270225287303895
2024_11_28_13-14-43_0_29,2024_11_28,13-14-43_0,29,38.0,28.916427701451212,21.6,7.316427701451211,-4.996262786250784
2024_11_28_13-14-43_0_37,2024_11_28,13-14-43_0,37,11.0,30.58452324106139,28.9,1.6845232410613917,-9.987159489273857
2024_11_28_13-14-43_0_45,2024_11_28,13-14-43_0,45,157.0,29.45842523918163,28.9,0.5584252391816307,-8.645356350022107
2024_11_28_13-14-43_0_77,2024_11_28,13-14-43_0,77,28.0,21.899218987061367,21.6,0.29921898706136574,-1.2031560792617029
2024_11_28_13-14-43_0_82,2024_11_28,13-14-43_0,82,19.0,22.476597290410798,21.6,0.8765972904107961,-12.281900020236835
2024_11_28_13-16-54_0_1,2024_11_28,13-16-54_0,1,144.0,33.548250685100726,28.9,4.648250685100727,3.9404315210754848
2024_11_28_13-16-54_0_12,2024_11_28,13-16-54_0,12,17.0,25.80537649549619,21.6,4.205376495496189,0.6547338230906817
2024_11_28_13-16-54_0_41,2024_11_28,13-16-54_0,41,14.0,29.07947757061486,28.9,0.17947757061486058,-6.86965269430875
2024_11_28_13-16-54_0_49,2024_11_28,13-16-54_0,49,24.0,29.790420996664203,28.9,0.8904209966642043,-3.397788406630454
2024_11_28_13-16-54_0_53,2024_11_28,13-16-54_0,53,144.0,34.14494858193498,28.9,5.244948581934985,3.816979454985361
2024_11_28_13-16-54_0_59,2024_11_28,13-16-54_0,59,11.0,22.58272794135663,21.6,0.9827279413566288,-7.946287625361421
2024_11_28_13-16-54_0_67,2024_11_28,13-16-54_0,67,10.0,21.34834427341569,21.6,0.25165572658431046,-6.072065119820933
2024_11_28_13-16-54_0_68,2024_11_28,13-16-54_0,68,42.0,24.252734018926976,21.6,2.6527340189269744,-3.3023187957337705
2024_11_28_13-27-52_0_1,2024_11_28,13-27-52_0,1,25.0,29.28551739895471,28.9,0.38551739895471115,2.7262166236532335
2024_11_28_13-27-52_0_2,2024_11_28,13-27-52_0,2,36.0,21.309148238869053,21.6,0.29085176113094846,-8.691544229419547
2024_11_28_13-27-52_0_6,2024_11_28,13-27-52_0,6,24.0,21.693949688734282,21.6,0.09394968873428056,-0.9314105234724736
2024_11_28_13-27-52_0_11,2024_11_28,13-27-52_0,11,72.0,29.581592844559783,28.9,0.6815928445597841,-2.3166231917298745
2024_11_28_13-27-52_0_12,2024_11_28,13-27-52_0,12,8.0,19.06585058959305,21.6,2.5341494104069504,12.292486774233339
2024_11_28_13-27-52_0_13,2024_11_28,13-27-52_0,13,10.0,22.43867649570605,21.6,0.83867649570605,8.088796477943216
