unique_track,video_day,source_folder,track_id,n_frames_validos,calculated_length_cm,gt_cm,abs_error_cm,mean_elevation_deg
2024_11_28_12_52_36_0_7,2024_11_28,12_52_36_0,7,124.0,28.835827269633203,28.9,0.0641727303667956,-9.5492844282046
2024_11_28_12_52_36_0_12,2024_11_28,12_52_36_0,12,33.0,30.385976484655302,28.9,1.4859764846553034,-2.6837328904800417
2024_11_28_12_52_36_0_17,2024_11_28,12_52_36_0,17,30.0,29.053652301964956,28.9,0.15365230196495716,-2.0059856587643297
2024_11_28_12_54_48_0_1,2024_11_28,12_54_48_0,1,8.0,28.4204378752303,28.9,0.47956212476969995,-11.07297350898577
2024_11_28_12_54_48_0_12,2024_11_28,12_54_48_0,12,87.0,28.80277945538078,28.9,0.09722054461921914,-9.063226022575929
2024_11_28_12_54_48_0_15,2024_11_28,12_54_48_0,15,96.0,29.103735222023065,28.9,0.2037352220230666,-3.4383702766021145
2024_11_28_12_54_48_0_19,2024_11_28,12_54_48_0,19,10.0,28.94933955342569,28.9,0.04933955342569263,-2.760281483744926
2024_11_28_12_54_48_0_24,2024_11_28,12_54_48_0,24,37.0,28.940178130136857,28.9,0.04017813013685867,0.9647462820863328
2024_11_28_12_54_48_0_27,2024_11_28,12_54_48_0,27,52.0,28.7774822136753,28.9,0.12251778632469978,-1.0992135149711595
2024_11_28_12_56_59_0_1,2024_11_28,12_56_59_0,1,137.0,29.563873788860622,28.9,0.6638737888606236,2.525204808695031
2024_11_28_12_57_50_0_1,2024_11_28,12_57_50_0,1,129.0,30.14433393453359,28.9,1.2443339345335929,-11.192796216196331
2024_11_28_12_57_50_0_2,2024_11_28,12_57_50_0,2,6.0,28.907411517784038,28.9,0.0074115177840390345,-0.9010939866991343
2024_11_28_12_58_48_0_1,2024_11_28,12_58_48_0,1,32.0,28.984209340436866,28.9,0.08420934043686756,-12.287891465058346
2024_11_28_12_58_48_0_11,2024_11_28,12_58_48_0,11,265.0,32.296576550244666,28.9,3.396576550244667,3.6922975000338663
2024_11_28_13_01_16_0_1,2024_11_28,13_01_16_0,1,51.0,28.98766985778845,28.9,0.08766985778845182,1.6444913904785758
2024_11_28_13_01_16_0_11,2024_11_28,13_01_16_0,11,12.0,33.94163138066736,28.9,5.041631380667361,-3.9041463472168876
2024_11_28_13_01_16_0_13,2024_11_28,13_01_16_0,13,95.0,29.46812793788206,28.9,0.5681279378820605,-0.23032250686577366
2024_11_28_13_02_27_0_2,2024_11_28,13_02_27_0,2,29.0,30.240558126741806,28.9,1.3405581267418079,-1.863811647030367
2024_11_28_13_02_27_0_22,2024_11_28,13_02_27_0,22,7.0,28.59114230252996,28.9,0.3088576974700388,-1.2801690925662836
2024_11_28_13_02_27_0_40,2024_11_28,13_02_27_0,40,20.0,29.08372764630642,28.9,0.1837276463064228,0.5491799850792166
2024_11_28_13_02_27_0_52,2024_11_28,13_02_27_0,52,52.0,29.68565930393271,28.9,0.7856593039327109,1.214859742253501
2024_11_28_13_02_27_0_57,2024_11_28,13_02_27_0,57,32.0,29.43556998867057,28.9,0.53556998867057,3.4133202796413595
2024_11_28_13_04_39_0_1,2024_11_28,13_04_39_0,1,14.0,28.6832841061214,28.9,0.21671589387860024,1.5674252335256702
2024_11_28_13_04_39_0_6,2024_11_28,13_04_39_0,6,42.0,29.27737573500532,28.9,0.37737573500532307,-6.372480225346111
2024_11_28_13_05_27_0_3,2024_11_28,13_05_27_0,3,52.0,29.19414435264195,28.9,0.2941443526419505,-13.710078486926253
2024_11_28_13_05_27_0_4,2024_11_28,13_05_27_0,4,15.0,28.47456600998639,28.9,0.4254339900136088,-0.4735670711480175
2024_11_28_13_05_27_0_29,2024_11_28,13_05_27_0,29,20.0,28.86086435018672,28.9,0.03913564981327866,4.600253997311906
2024_11_28_13_05_27_0_46,2024_11_28,13_05_27_0,46,37.0,28.76409006955514,28.9,0.135909930444857,-5.441288537300822
2024_11_28_13_07_38_0_1,2024_11_28,13_07_38_0,1,21.0,28.93612494890328,28.9,0.03612494890328222,0.8749220548733702
2024_11_28_13_07_38_0_13,2024_11_28,13_07_38_0,13,41.0,29.310660221556862,28.9,0.41066022155686355,-6.729008837835508
2024_11_28_13_08_33_0_1,2024_11_28,13_08_33_0,1,37.0,29.922914824629665,28.9,1.022914824629666,1.8040974138296877
2024_11_28_13_09_20_0_3,2024_11_28,13_09_20_0,3,121.0,30.822081114272535,28.9,1.9220811142725367,-8.044877590017999
2024_11_28_13_12_31_0_4,2024_11_28,13_12_31_0,4,280.0,30.317112286631247,28.9,1.417112286631248,3.633425334267403
