video_day,source_folder,video_name,frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_cm,rel_error_%,fish_dist_from_camera,especie_gt,failure_reason,unique_track,scenario
2024_11_12,10_44_11_0,10_44_11_0,frame_1,0,255,-1,1,False,False,True,1.1384615898132324,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/-1,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_9,0,255,-1,1,False,False,True,1.390134572982788,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/-1,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_12,0,255,-1,0,True,False,True,2.649350643157959,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/-1,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_13,0,255,3,0,True,False,True,2.789754867553711,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_15,0,255,3,0,True,False,True,2.837644338607788,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_16,0,255,3,0,True,False,True,2.585240840911865,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_17,0,255,3,0,True,False,True,2.109971046447754,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_18,0,255,3,0,True,False,True,1.851367950439453,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_19,0,255,3,0,True,False,True,1.7543810606002808,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_20,0,255,3,0,False,False,True,1.8304126262664795,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_21,0,255,3,0,False,False,True,1.667475938796997,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_22,0,255,3,0,False,False,True,1.5180890560150146,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_23,0,255,3,0,True,False,True,1.4159274101257324,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_24,0,255,3,0,True,False,True,1.4743409156799316,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_25,0,255,3,0,True,False,True,1.3272638320922852,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_27,0,255,3,0,True,False,True,1.1545259952545166,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_29,0,255,3,0,True,False,True,1.2917388677597046,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_30,0,255,3,0,True,False,True,1.3507013320922852,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_31,0,255,3,0,True,False,True,1.274997353553772,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_32,0,255,3,0,True,False,True,1.277669906616211,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_33,0,255,3,0,True,False,True,1.329169750213623,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_34,0,255,3,0,True,False,True,1.505225419998169,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_35,0,255,3,0,True,False,True,1.514025092124939,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_36,0,255,3,0,True,False,True,1.5252398252487185,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_38,0,255,3,0,True,False,True,1.441205620765686,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_39,0,255,3,0,True,False,True,1.5182243585586548,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_40,0,255,3,0,True,False,True,1.4883300065994265,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_41,0,255,3,0,True,False,True,1.417636513710022,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_42,0,255,3,0,True,False,True,1.4870526790618896,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
