Bagfile_ID,Durada_segons,Num_Frames,Frame_Rate_FPS
r398-end_stereo_camera_images_2025-08-21-10-09-31_0.bag,"21,28",214,"10,06"
r0-528_stereo_camera_images_2025-08-21-10-14-05_0.bag,"52,66",528,"10,03"
r295-end_stereo_camera_images_2025-08-21-10-11-02_0.bag,"31,47",316,"10,04"
r602-end_stereo_camera_images_2025-08-21-13-23-54_0_compressed.bag,"3,87",66,"17,04"
r0-78_stereo_camera_images_2025-08-21-10-20-29_1_compressed.bag,"5,13",78,"15,21"
r378-463_stereo_camera_images_2025-08-21-13-22-22_0_compressed.bag,"4,99",86,"17,22"
r50-end_stereo_camera_images_2025-08-21-10-07-59_0.bag,"55,95",561,"10,03"
r383-534_stereo_camera_images_2025-08-21-10-19-44_0_compressed.bag,"10,06",152,"15,12"
r0-344_stereo_camera_images_2025-08-21-10-09-31_0.bag,"34,27",344,"10,04"
r215-end_stereo_camera_images_2025-08-21-10-12-34_0.bag,"39,47",396,"10,03"
r496-end_stereo_camera_images_2025-08-21-10-15-37_0.bag,"11,49",116,"10,1"
r_stereo_camera_images_2025-08-21-10-37-15_1.bag,"13,52",204,"15,09"
stereo_camera_images_2025-08-21-10-22-00_1_compressed.bag,"16,46",248,"15,07"
r450-524_stereo_camera_images_2025-08-21-13-23-54_0_compressed.bag,"4,35",75,"17,24"
r_stereo_camera_images_2025-08-21-13-05-55_0.bag,"51,21",614,"11,99"
r47-end_stereo_camera_images_2025-08-21-10-18-24_0_compressed.bag,"56,25",564,"10,03"
r201-end_stereo_camera_images_2025-08-21-10-01-53_0_compressed.bag,"40,76",409,"10,03"
r0-304_stereo_camera_images_2025-08-21-13-23-54_0_compressed.bag,"17,81",304,"17,07"
r60-297_stereo_camera_images_2025-08-21-13-22-22_0_compressed.bag,"13,93",238,"17,09"
r588-end_stereo_camera_images_2025-08-21-10-19-44_0_compressed.bag,"5,26",79,"15,01"
r0-244_stereo_camera_images_2025-08-21-10-11-02_0.bag,"24,28",244,"10,05"
,"8,5745",,
