track_uid,n_frames_validos,calculated_length_cm,gt_cm,abs_error_cm,mean_elevation_deg,dataset,scenario,video_day,video_name,especie_gt,rel_error_perc
Dataset_2_2025_08_21_10-01-53_0_compressed-r201-end_1,59.0,31.208944196183165,29.1,2.108944196183163,3.402429981598001,Dataset_2,multiple_fish,2025_08_21,10-01-53_0_compressed-r201-end,red,7.247230914718774
Dataset_2_2025_08_21_10-01-53_0_compressed-r201-end_18,31.0,28.42558038018634,29.1,0.674419619813662,-7.6089006962648895,Dataset_2,multiple_fish,2025_08_21,10-01-53_0_compressed-r201-end,red,2.317593195235952
Dataset_2_2025_08_21_10-01-53_0_compressed-r201-end_4,14.0,36.84435789251525,32.3,4.544357892515251,3.9077540982529024,Dataset_2,multiple_fish,2025_08_21,10-01-53_0_compressed-r201-end,no_mark,14.069219481471364
Dataset_2_2025_08_21_10-07-59_0-r50-end_12,42.0,31.582838874502446,32.3,0.717161125497551,1.5888043387400252,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,no_mark,2.2203130820357617
Dataset_2_2025_08_21_10-07-59_0-r50-end_16,17.0,28.7663860649508,29.1,0.33361393504920045,7.39266969984661,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,red,1.1464396393443315
Dataset_2_2025_08_21_10-07-59_0-r50-end_21,34.0,31.81256658295698,32.3,0.4874334170430181,9.116598282868557,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,no_mark,1.509081786510892
Dataset_2_2025_08_21_10-07-59_0-r50-end_24,25.0,28.572602704613782,29.1,0.5273972953862192,10.492138841807526,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,red,1.812361839815186
Dataset_2_2025_08_21_10-07-59_0-r50-end_27,13.0,33.23579167548511,32.3,0.9357916754851132,2.3224327363254136,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,no_mark,2.897187849799112
Dataset_2_2025_08_21_10-07-59_0-r50-end_28,7.0,26.54176458775652,29.1,2.55823541224348,0.5543056991434427,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,red,8.791186983654569
Dataset_2_2025_08_21_10-07-59_0-r50-end_6,24.0,27.702858273772186,29.1,1.3971417262278152,-0.17736402026702058,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,red,4.801174316934072
Dataset_2_2025_08_21_10-07-59_0-r50-end_9,21.0,31.856797566063467,32.3,0.4432024339365306,-7.936477929675523,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,no_mark,1.3721437583174323
Dataset_2_2025_08_21_10-09-31_0-r0-344_10,18.0,33.0057383498252,32.3,0.7057383498252037,19.095453513461816,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r0-344,no_mark,2.184948451471219
Dataset_2_2025_08_21_10-09-31_0-r0-344_16,8.0,28.879592677840236,29.1,0.22040732215976533,12.142729019252913,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r0-344,red,0.7574134782122519
Dataset_2_2025_08_21_10-09-31_0-r0-344_4,13.0,29.377890695335,29.1,0.27789069533499955,12.442957649985516,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r0-344,red,0.9549508430755999
Dataset_2_2025_08_21_10-09-31_0-r0-344_9,41.0,28.817452103913414,29.1,0.28254789608658726,6.1219150654063474,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r0-344,red,0.9709549693697157
Dataset_2_2025_08_21_10-09-31_0-r398-end_1,19.0,28.69689439821966,29.1,0.40310560178034294,14.839042829563015,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r398-end,red,1.3852426178018655
Dataset_2_2025_08_21_10-09-31_0-r398-end_13,12.0,28.902629120895412,29.1,0.1973708791045894,19.082739322134575,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r398-end,red,0.6782504436583827
Dataset_2_2025_08_21_10-09-31_0-r398-end_14,27.0,29.567902675792944,29.1,0.4679026757929421,-14.212843375660631,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r398-end,red,1.607912975233478
Dataset_2_2025_08_21_10-09-31_0-r398-end_4,12.0,31.598936038416596,32.3,0.7010639615834009,8.838147298380479,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r398-end,no_mark,2.1704766612489195
