track_uid,n_frames_validos,calculated_length_cm,gt_cm,abs_error_cm,mean_elevation_deg,dataset,scenario,video_day,video_name,especie_gt,rel_error_perc
Dataset_2_2025_08_21_10-01-53_0_compressed-r201-end_1,53.0,31.03020044892769,29.1,1.930200448927689,4.828339884181148,Dataset_2,multiple_fish,2025_08_21,10-01-53_0_compressed-r201-end,red,6.632991233428484
Dataset_2_2025_08_21_10-01-53_0_compressed-r201-end_18,25.0,28.487169527376576,29.1,0.6128304726234255,-7.119056486801582,Dataset_2,multiple_fish,2025_08_21,10-01-53_0_compressed-r201-end,red,2.105946641317613
Dataset_2_2025_08_21_10-01-53_0_compressed-r201-end_4,14.0,36.84435789251525,32.3,4.544357892515251,3.9077540982529024,Dataset_2,multiple_fish,2025_08_21,10-01-53_0_compressed-r201-end,no_mark,14.069219481471364
Dataset_2_2025_08_21_10-07-59_0-r50-end_12,39.0,31.633936476718027,32.3,0.66606352328197,2.265552314224821,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,no_mark,2.0621161711516103
Dataset_2_2025_08_21_10-07-59_0-r50-end_16,16.0,28.7663860649508,29.1,0.33361393504920045,6.152092916676689,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,red,1.1464396393443315
Dataset_2_2025_08_21_10-07-59_0-r50-end_21,29.0,31.74068953180793,32.3,0.5593104681920664,5.999736452802421,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,no_mark,1.7316113566317848
Dataset_2_2025_08_21_10-07-59_0-r50-end_24,20.0,28.34044406585363,29.1,0.7595559341463698,6.477962579955509,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,red,2.6101578493002395
Dataset_2_2025_08_21_10-07-59_0-r50-end_27,13.0,33.23579167548511,32.3,0.9357916754851132,2.3224327363254136,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,no_mark,2.897187849799112
Dataset_2_2025_08_21_10-07-59_0-r50-end_28,7.0,26.54176458775652,29.1,2.55823541224348,0.5543056991434427,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,red,8.791186983654569
Dataset_2_2025_08_21_10-07-59_0-r50-end_6,23.0,27.702858273772186,29.1,1.3971417262278152,1.0114392987047434,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,red,4.801174316934072
Dataset_2_2025_08_21_10-07-59_0-r50-end_9,20.0,31.856797566063467,32.3,0.4432024339365306,-6.996733044430461,Dataset_2,multiple_fish,2025_08_21,10-07-59_0-r50-end,no_mark,1.3721437583174323
Dataset_2_2025_08_21_10-09-31_0-r0-344_10,13.0,33.0057383498252,32.3,0.7057383498252037,15.554791800766377,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r0-344,no_mark,2.184948451471219
Dataset_2_2025_08_21_10-09-31_0-r0-344_16,7.0,28.879592677840236,29.1,0.22040732215976533,9.900744395258325,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r0-344,red,0.7574134782122519
Dataset_2_2025_08_21_10-09-31_0-r0-344_4,8.0,28.982578194244752,29.1,0.11742180575524941,17.500860192755955,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r0-344,red,0.40351135998367493
Dataset_2_2025_08_21_10-09-31_0-r0-344_9,31.0,28.07585487393628,29.1,1.024145126063722,4.388839661633246,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r0-344,red,3.5193990586382196
Dataset_2_2025_08_21_10-09-31_0-r398-end_1,17.0,28.69689439821966,29.1,0.40310560178034294,13.27813032915648,Dataset_2,multiple_fish,2025_08_21,10-09-31_0-r398-end,red,1.3852426178018655
