video_day,source_folder,track_id,n_frames_validos,calculated_length_cm,gt_cm,abs_error_cm,mean_elevation_deg
2025_08_21,12_07_31_0,1,150.0,29.75018320443757,29.1,0.6501832044375675,6.761473627724766
2025_08_21,12_07_31_1,2,17.0,29.09659577717012,29.1,0.0034042228298822863,5.503647422164553
2025_08_21,12_07_31_1,8,21.0,29.777859509966298,29.1,0.6778595099662965,1.7821887536507
2025_08_21,12_09_03_compressed,1,80.0,30.493931820259533,29.1,1.3939318202595317,0.8791322573606211
2025_08_21,12_09_03_compressed,3,6.0,28.85216539114417,29.1,0.24783460885583253,9.036086809746052
2025_08_21,12_10_35_compressed,1,44.0,29.97869981510612,29.1,0.8786998151061169,-1.1857633007344217
2025_08_21,12_12_06_compressed,1,58.0,31.219273601482968,29.1,2.1192736014829663,-5.034773435358175
2025_08_21,12_13_38_compressed,1,27.0,29.802136149780704,29.1,0.7021361497807028,0.9899303401787388
2025_08_21,12_13_38_compressed,9,6.0,25.51865111276481,29.1,3.5813488872351904,8.080891030149694
2025_08_21,13_33_03_0,1,18.0,29.28470754398753,29.1,0.1847075439875283,1.1545637913847364
2025_08_21,13_33_03_0,3,43.0,29.522831423774896,29.1,0.4228314237748947,1.680999465487875
2025_08_21,13_33_03_1,1,95.0,29.029706237991288,29.1,0.0702937620087134,5.67590607907742
2025_08_21,13_34_24_compressed,1,22.0,22.383809576156015,29.1,6.716190423843987,-12.395710040282307
2025_08_21,13_35_56_compressed,1,50.0,29.659308480333824,29.1,0.5593084803338222,4.525007932844762
2025_08_21,13_37_28_compressed,1,112.0,28.894203332673733,29.1,0.20579666732626833,1.6042967426375954
2025_08_21,13_37_28_compressed,3,39.0,30.811279437538946,29.1,1.7112794375389448,-6.980516892504434
2025_08_21,13_38_54_compressed,1,69.0,28.873354658045912,29.1,0.22664534195408947,-1.294241842988872
2025_08_21,13_40_21_compressed,1,28.0,22.862839261998293,29.1,6.237160738001709,-10.119372537598684
2025_08_21,13_52_33_compressed,1,30.0,29.47643589919961,29.1,0.37643589919960974,-3.0846954236836397
2025_08_21,13_52_33_compressed,2,19.0,29.67936309997514,29.1,0.57936309997514,-18.735725147927752
2025_08_21,13_54_05_compressed,1,26.0,29.06879158349594,29.1,0.03120841650406092,-18.054022714354588
2025_08_21,13_55_37_compressed,1,9.0,28.03197842553399,29.1,1.0680215744660124,-14.237561975294048
2025_08_21,13_55_56_compressed,1,42.0,29.801085032277175,29.1,0.7010850322771738,7.5528981241548
2025_08_21,13_57_08_compressed,1,30.0,29.075136271531992,29.1,0.024863728468009327,-13.604952403122887
2025_08_21,13_58_40_compressed,1,60.0,30.650179401782502,29.1,1.5501794017825006,-4.382476901421841
