Dataset_ID,Bagfile_Name,Date,Dataset_Type,Image_Format,Duration_Sec,Num_Images_Left,Num_Images_Right,Frame_Rate_FPS,Size_GB,Fishes_Present
Dataset 2,stereo_camera_images_2025-08-21-13-35-09_1_compressed.bag,2025_08_21,single_fish,Compressed,"16.38",246,246,"15.02","1,01",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-34-25_0_compressed.bag,2025_08_21,single_fish,Compressed,"44.43",667,668,"15.01","2,74",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-36-41_1_compressed.bag,2025_08_21,single_fish,Compressed,"16.58",250,250,"15.07","1,03",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-35-56_0_compressed.bag,2025_08_21,single_fish,Compressed,"44.43",667,667,"15.01","2,74",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-51-02_0_compressed.bag,2025_08_21,single_fish,Compressed,"60.95",611,611,"10.02","2,51",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-57-08_0_compressed.bag,2025_08_21,single_fish,Compressed,"60.95",611,610,"10.02","2,37",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-12-09-37_1_compressed.bag,2025_08_21,single_fish,Compressed,"27.68",555,555,"20.05","2,5",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-12-09-03_0_compressed.bag,2025_08_21,single_fish,Compressed,"33.32",667,667,"20.02","2,89",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-58-40_0_compressed.bag,2025_08_21,single_fish,Compressed,"60.85",610,610,"10.02","2,43",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-41-52_0_compressed.bag,2025_08_21,single_fish,Compressed,"60.95",611,611,"10.02","2,51",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-49-30_0_compressed.bag,2025_08_21,single_fish,Compressed,"60.96",611,611,"10.02","2,51",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-38-13_1_compressed.bag,2025_08_21,single_fish,Compressed,"16.45",248,248,"15.07","1,02",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-37-28_0_compressed.bag,2025_08_21,single_fish,Compressed,"44.43",667,667,"15.01","2,73",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-12-15-10_0_compressed.bag,2025_08_21,single_fish,Compressed,"33.32",667,667,"20.02","2,89",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-12-15-43_1_compressed.bag,2025_08_21,single_fish,Compressed,"27.67",555,555,"20.06","2,49",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-46-27_0_compressed.bag,2025_08_21,single_fish,Compressed,"60.86",610,610,"10.02","2,51",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-55-37_0_compressed.bag,2025_08_21,single_fish,Compressed,"60.95",611,611,"10.02","2,37",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-44-56_0_compressed.bag,2025_08_21,single_fish,Compressed,"60.85",610,610,"10.02","2,5",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-52-34_0_compressed.bag,2025_08_21,single_fish,Compressed,"60.95",611,611,"10.02","2,47",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-38-54_0_compressed.bag,2025_08_21,single_fish,Compressed,"60.96",611,611,"10.02","2,51",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-12-08-05_1_compressed.bag,2025_08_21,single_fish,Compressed,"27.48",551,551,"20.05","2,46",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-12-07-32_0_compressed.bag,2025_08_21,single_fish,Compressed,"33.32",667,667,"20.02",3,D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-47-59_0_compressed.bag,2025_08_21,single_fish,Compressed,"60.95",611,610,"10.03","2,51",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-12-12-40_1_compressed.bag,2025_08_21,single_fish,Compressed,"27.72",556,556,"20.06","2,39",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-12-12-06_0_compressed.bag,2025_08_21,single_fish,Compressed,"33.32",667,667,"20.02","2,96",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-43-24_0_compressed.bag,2025_08_21,single_fish,Compressed,"60.96",611,611,"10.02","2,51",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-40-21_0_compressed.bag,2025_08_21,single_fish,Compressed,"60.96",611,611,"10.02","2,5",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-12-13-38_0_compressed.bag,2025_08_21,single_fish,Compressed,"33.32",667,667,"20.02",3,D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-12-14-12_1_compressed.bag,2025_08_21,single_fish,Compressed,"27.62",554,554,"20.06","2,46",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-12-11-09_1_compressed.bag,2025_08_21,single_fish,Compressed,"27.42",550,550,"20.06","2,37",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-12-10-35_0_compressed.bag,2025_08_21,single_fish,Compressed,"33.32",667,667,"20.02","2,88",D_labrax_D_labrax_red (N/Acm)
Dataset 2,stereo_camera_images_2025-08-21-13-54-05_0_compressed.bag,2025_08_21,single_fish,Compressed,"60.95",611,611,"10.02","2,37",D_labrax_D_labrax_red (N/Acm)
