Dataset_ID,Bagfile_Name,Date,Time,Dataset_Type,Image_Format,Duration_Sec,Num_Images_Left,Num_Images_Right,Frame_Rate_FPS,Size_GB,Fishes_Present
Dataset A,"stereo_camera_images_2024-11-12-11-37-10_0_compressed,bag",2024_11_12,11-37-10,single_fish,Compressed,"120,91",485,485,"4,01","2,08","Fish 0 (31,5cm)"
Dataset A,"stereo_camera_images_2024-11-12-11-00-27_0_compressed,bag",2024_11_12,11-00-27,single_fish,Compressed,"78,69",316,316,"4,02","1,4","Fish 0 (31,5cm)"
Dataset A,"stereo_camera_images_2024-11-12-10-48-44_0_compressed,bag",2024_11_12,10-48-44,single_fish,Compressed,"166,61",667,667,4,"2,97","Fish 0 (31,5cm)"
Dataset A,"stereo_camera_images_2024-11-12-10-51-31_1_compressed,bag",2024_11_12,10-51-31,single_fish,Compressed,"137,89",552,553,4,"2,48","Fish 0 (31,5cm)"
Dataset A,"stereo_camera_images_2024-11-12-11-10-51_0_compressed,bag",2024_11_12,11-10-51,single_fish,Compressed,"120,9",485,485,"4,01","2,1","Fish 0 (31,5cm)"
Dataset A,"stereo_camera_images_2024-11-12-10-58-20_0_compressed,bag",2024_11_12,10-58-20,single_fish,Compressed,"120,91",485,485,"4,01","2,15","Fish 0 (31,5cm)"
Dataset A,"stereo_camera_images_2024-11-12-11-08-39_0_compressed,bag",2024_11_12,11-08-39,single_fish,Compressed,"120,9",485,485,"4,01","2,1","Fish 0 (31,5cm)"
Dataset A,"stereo_camera_images_2024-11-12-10-44-11_0_compressed,bag",2024_11_12,10-44-11,single_fish,Compressed,"105,67",423,424,4,"1,98","Fish 0 (31,5cm)"
Dataset A,"stereo_camera_images_2024-11-12-10-54-07_0_compressed,bag",2024_11_12,10-54-07,single_fish,Compressed,"120,9",484,485,4,"2,14","Fish 0 (31,5cm)"
Dataset A,"stereo_camera_images_2024-11-28-12-57-51_0_compressed,bag",2024_11_28,12-57-51,single_fish,Compressed,"39,46",158,159,4,"0,53","Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-12-52-36_0_compressed,bag",2024_11_28,12-52-36,single_fish,Compressed,"120,91",484,485,4,"1,98","Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-07-39_0_compressed,bag",2024_11_28,13-07-39,single_fish,Compressed,"41,97",169,169,"4,03","0,7","Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-02-27_0_compressed,bag",2024_11_28,13-02-27,single_fish,Compressed,"120,66",484,484,"4,01","1,99","Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-04-39_0_compressed,bag",2024_11_28,13-04-39,single_fish,Compressed,"34,48",138,138,4,"0,57","Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-12-58-48_0_compressed,bag",2024_11_28,12-58-48,single_fish,Compressed,"120,65",483,484,4,"1,98","Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-44-57_0_compressed,bag",2024_11_28,13-44-57,single_fish,Compressed,"120,9",485,485,"4,01","2,11","Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-12-57-00_0_compressed,bag",2024_11_28,12-57-00,single_fish,Compressed,"38,97",157,157,"4,03","0,65","Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-05-27_0_compressed,bag",2024_11_28,13-05-27,single_fish,Compressed,"120,9",484,485,4,"1,99","Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-09-20_0_compressed,bag",2024_11_28,13-09-20,single_fish,Compressed,"42,96",172,173,4,"0,67","Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-12-31_0_compressed,bag",2024_11_28,13-12-31,single_fish,Compressed,"120,9",485,484,"4,01","1,92","Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-01-16_0_compressed,bag",2024_11_28,13-01-16,single_fish,Compressed,"59,45",238,239,4,"0,83","Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-12-54-48_0_compressed,bag",2024_11_28,12-54-48,single_fish,Compressed,"120,9",485,485,"4,01","1,98","Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-08-34_0_compressed,bag",2024_11_28,13-08-34,single_fish,Compressed,"32,98",133,133,"4,03","0,48","Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-19-06_0_compressed,bag",2024_11_28,13-19-06,multiple_fish,Compressed,"120,9",485,485,"4,01","1,92","Fish 2 (21,6cm), Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-21-17_0_compressed,bag",2024_11_28,13-21-17,multiple_fish,Compressed,"120,9",485,485,"4,01","1,92","Fish 2 (21,6cm), Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-47-08_0_compressed,bag",2024_11_28,13-47-08,multiple_fish,Compressed,"60,95",245,245,"4,02","1,07","Fish 2 (21,6cm), Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-39-00_0_compressed,bag",2024_11_28,13-39-00,multiple_fish,Compressed,"120,91",485,485,"4,01","2,13","Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-41-12_0_compressed,bag",2024_11_28,13-41-12,multiple_fish,Compressed,"65,7",264,264,"4,02","1,16","Fish 2 (21,6cm), Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-25-41_0_compressed,bag",2024_11_28,13-25-41,multiple_fish,Compressed,"120,9",485,485,"4,01","1,91","Fish 2 (21,6cm), Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-23-29_0_compressed,bag",2024_11_28,13-23-29,multiple_fish,Compressed,"120,9",485,485,"4,01","1,9","Fish 2 (21,6cm), Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-34-27_0_compressed,bag",2024_11_28,13-34-27,multiple_fish,Compressed,"120,9",485,485,"4,01","1,91","Fish 2 (21,6cm), Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-32-16_0_compressed,bag",2024_11_28,13-32-16,multiple_fish,Compressed,"120,65",484,484,"4,01","1,9","Fish 2 (21,6cm), Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-36-49_0_compressed,bag",2024_11_28,13-36-49,multiple_fish,Compressed,"120,65",483,484,4,"2,12","Fish 2 (21,6cm), Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-48-24_0_compressed,bag",2024_11_28,13-48-24,multiple_fish,Compressed,"41,47",167,167,"4,03","0,73","Fish 2 (21,6cm), Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-27-52_0_compressed,bag",2024_11_28,13-27-52,multiple_fish,Compressed,"120,91",485,485,"4,01","1,92","Fish 2 (21,6cm), Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-16-54_0_compressed,bag",2024_11_28,13-16-54,multiple_fish,Compressed,"120,91",485,484,"4,01","1,93","Fish 2 (21,6cm), Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2024-11-28-13-42-45_0_compressed,bag",2024_11_28,13-42-45,multiple_fish,Compressed,"120,66",483,484,4,"2,11","Fish 2 (21,6cm), Fish 1 (28,9cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-18-25_1_compressed,bag",2025_05_08,11-18-25,single_fish,Compressed,"66,55",667,667,"10,02","2,87","Fish 3(33,5cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-20-39_3_compressed,bag",2025_05_08,11-20-39,single_fish,Compressed,3,31,31,"10,34","0,13","Fish 3(33,5cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-19-32_2_compressed,bag",2025_05_08,11-19-32,single_fish,Compressed,"66,66",667,667,"10,01","2,88","Fish 3(33,5cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-17-18_0_compressed,bag",2025_05_08,11-17-18,single_fish,Compressed,"66,65",667,667,"10,01","2,87","Fish 3(33,5cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-16-00_1_compressed,bag",2025_05_08,11-16-00,single_fish,Compressed,"46,46",465,465,"10,01","2,02","Fish 3(33,5cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-14-53_0_compressed,bag",2025_05_08,11-14-53,single_fish,Compressed,"66,64",667,667,"10,01","2,9","Fish 3(33,5cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-22-03_1_compressed,bag",2025_05_08,11-22-03,single_fish,Compressed,"66,65",668,666,"10,02","2,87","Fish 3(33,5cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-20-56_0_compressed,bag",2025_05_08,11-20-56,single_fish,Compressed,"66,65",667,667,"10,01","2,87","Fish 3(33,5cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-23-09_2_compressed,bag",2025_05_08,11-23-09,single_fish,Compressed,"14,39",144,145,"10,01","0,62","Fish 3(33,5cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-49-52_0_compressed,bag",2025_05_08,11-49-52,multiple_fish,Compressed,"30,92",620,620,"20,05","2,64","Fish 3 (33,5cm), Fish 5 (30,0cm), Fish 4 (33,5cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-59-57_0_compressed,bag",2025_05_08,11-59-57,multiple_fish,Compressed,"30,92",620,619,"20,05","2,64","Fish 3 (33,5cm), Fish 5 (30,0cm), Fish 4 (33,5cm)"
Dataset A,"stereo_camera_images_2025-05-08-12-01-20_0_compressed,bag",2025_05_08,12-01-20,multiple_fish,Compressed,"30,93",620,620,"20,05","2,64","Fish 3 (33,5cm), Fish 5 (30,0cm), Fish 4 (33,5cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-42-15_1_compressed,bag",2025_05_08,11-42-15,multiple_fish,Compressed,"1,33",40,20,"30,03","0,13","Fish 3 (33,5cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-41-45_0_compressed,bag",2025_05_08,11-41-45,multiple_fish,Compressed,"29,61",890,445,"30,06","2,87","Fish 3 (33,5cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-37-20_1_compressed,bag",2025_05_08,11-37-20,multiple_fish,Compressed,"27,45",412,413,"15,01","1,77","Fish 3 (33,5cm), Fish 5 (30,0cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-36-36_0_compressed,bag",2025_05_08,11-36-36,multiple_fish,Compressed,"44,42",668,667,"15,04","2,85","Fish 3 (33,5cm), Fish 5 (30,0cm)"
Dataset A,"stereo_camera_images_2025-05-08-12-00-39_0_compressed,bag",2025_05_08,12-00-39,multiple_fish,Compressed,"30,93",620,620,"20,05","2,65","Fish 3 (33,5cm), Fish 5 (30,0cm), Fish 4 (33,5cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-33-23_0_compressed,bag",2025_05_08,11-33-23,multiple_fish,Compressed,"29,6",890,444,"30,06","2,85","Fish 3 (33,5cm), Fish 5 (30,0cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-33-52_1_compressed,bag",2025_05_08,11-33-52,multiple_fish,Compressed,"19,91",599,299,"30,08","1,91","Fish 3 (33,5cm), Fish 5 (30,0cm)"
Dataset A,"stereo_camera_images_2025-05-08-12-02-02_0_compressed,bag",2025_05_08,12-02-02,multiple_fish,Compressed,"30,98",621,621,"20,05","2,65","Fish 3 (33,5cm), Fish 5 (30,0cm), Fish 4 (33,5cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-48-15_0_compressed,bag",2025_05_08,11-48-15,multiple_fish,Compressed,"30,88",310,310,"10,04","1,32","Fish 3 (33,5cm), Fish 5 (30,0cm), Fish 4 (33,5cm)"
Dataset A,"stereo_camera_images_2025-05-08-11-44-48_0_compressed,bag",2025_05_08,11-44-48,multiple_fish,Compressed,"30,97",249,248,"8,04","1,05","Fish 3 (33,5cm), Fish 5 (30,0cm)"
