video_day,source_folder,video_name,frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,pointcloud_size_ok,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,rel_error_%,fish_dist_from_camera,unique_track,especie_gt,gt,failure_reason,abs_error_cm
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_0,0,255,2,1,True,False,True,3.814938604574174,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_0,0,127,1,1,False,False,True,4.128491121517659,True,True,[],[    0.21126    0.032083      0.9769],15.070518576141978,-1.903151494388014,0.5001784238053477,0.2741273289921797,0.2679655661519994,18.170946569498607,1.86864766291718,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,3.0872671007820323
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_1,0,255,2,1,True,False,True,3.801004978973966,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_2,0,255,2,1,True,False,True,3.9738335740889377,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_3,0,255,1,1,False,False,True,3.925925925925926,True,True,[],[     0.2684    0.054811     0.96175],12.681787712737838,1.2005728820462414,0.4662725065882764,0.265205640573377,0.2650894163505014,20.834137142275537,1.875977549814946,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,3.9794359426623025
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_3,0,127,2,1,True,False,True,3.807317970113418,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_4,0,255,2,1,True,False,True,3.8744484210306736,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_5,0,255,2,1,True,False,True,3.98755216108281,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_6,0,255,2,1,True,False,True,4.007936240725371,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_7,0,255,2,1,True,False,True,3.8501911363414303,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_8,0,255,2,1,True,False,True,4.079452164232632,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_9,0,255,2,1,True,False,True,3.7253580811642246,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_10,0,255,2,1,True,False,True,3.7026240884017967,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_11,0,255,2,1,True,False,True,3.8053650802665016,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_12,0,255,1,1,False,False,True,3.9133334276363674,True,True,[],[    0.25389    0.011363     0.96717],14.267868734602764,-9.815138547384622,0.4572211340379135,0.2600903581467396,0.2593848821298289,22.36108712037624,1.864184417810651,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,4.4909641853260425
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_12,0,127,2,1,True,False,True,3.791129631080346,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_13,0,255,1,1,False,False,True,3.803883386629506,True,True,[],[     0.1482    0.041347     0.98809],12.506715206345094,-12.4970996941198,0.4696938175393523,0.2609878562347382,0.2587757022634698,22.093177243361723,1.861071587442518,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,4.40121437652618
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_13,0,127,2,1,True,False,True,3.800646571286928,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_14,0,255,2,1,True,False,True,3.947768483543444,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_15,0,255,2,1,True,False,True,3.858245916488911,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_16,0,255,2,1,True,False,True,3.712999551287161,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_17,0,255,2,1,True,False,True,3.726596598051496,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_18,0,255,1,1,False,False,True,3.9546473844695087,True,True,[],[    0.25998   -0.018795     0.96543],12.55902920613324,-18.64136046491073,0.4976642597397993,0.2663127189174713,0.2683305134370118,20.503665994784686,1.8590702746707373,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,3.868728108252867
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_18,0,127,2,1,True,False,True,3.723991048555043,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_19,0,255,2,1,True,False,True,3.867812188954248,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_20,0,255,2,1,True,False,True,3.922019054560698,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_21,0,255,2,1,True,False,True,3.9174874332571847,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_22,0,255,2,1,True,False,True,4.034520367985236,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_23,0,255,2,1,True,False,True,3.974307755752137,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_24,0,255,2,1,True,False,True,4.03361642172573,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_25,0,255,2,1,True,False,True,3.957223360383132,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_26,0,255,2,1,True,False,True,3.95864984591224,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_27,0,255,2,1,True,False,True,4.035101840725471,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_28,0,255,2,1,True,False,True,3.787232144652645,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_29,0,255,2,1,True,False,True,3.831860067307705,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_30,0,255,2,1,True,False,True,3.8807600428437463,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_31,0,255,2,1,True,False,True,3.748657460013221,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_32,0,255,1,1,False,False,True,3.2583337167486683,True,True,[],[   0.097176    0.052026     0.99391],21.698240638417456,-6.404146941538078,0.5016488697803854,0.2487412096693818,0.2542458679412106,25.748892636005426,1.8162871590605727,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,5.625879033061821
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_32,0,127,2,1,True,False,True,3.7438120149568,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_33,0,255,2,1,True,False,True,3.955291189972057,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_34,0,255,2,1,True,False,True,3.91518843036444,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_35,0,255,2,1,True,False,True,4.11883743501373,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_36,0,255,2,1,True,False,True,4.04349178273234,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_37,0,255,1,1,False,False,True,2.8784812179973205,True,True,[],[   0.079194    0.033665     0.99629],22.03265948344989,-8.690786608826661,0.5250518946802891,0.2324555558031302,0.2395225864024405,30.61028184981187,1.7899264661090313,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,7.25444441968698
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_37,0,127,2,1,True,False,True,3.8125181671724375,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_38,0,255,1,1,False,False,True,2.8740155443186204,True,True,[],[   0.050997    0.048351     0.99753],20.833520701162605,-9.492982774067343,0.6035561935993947,0.221453503901909,0.2278169809781221,33.89447644719135,1.7831810747514427,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,8.354649609809101
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_38,0,127,2,1,True,False,True,4.166748168692225,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_39,0,255,1,1,False,False,True,2.7903223934510506,True,True,[],[   0.047081     0.04008     0.99809],16.380041961151562,-9.698007068559944,0.5211218638579225,0.2113531248444264,0.2130727337662882,36.909514971813,1.7816514184426469,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,9.36468751555736
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_39,0,127,2,1,True,False,True,3.964465542520432,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_40,0,255,1,1,False,False,True,2.7132350113382744,True,True,[],[   0.050438    0.026369     0.99838],19.28030926577484,-10.742456063741193,0.527896266494061,0.2157922800926325,0.2163223367461387,35.584394002199254,1.7803669380719296,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,8.92077199073675
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_40,0,127,2,1,True,False,True,3.663804969241234,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_41,0,255,1,1,False,False,True,2.769803912379618,True,True,[],[   0.027058    0.032016     0.99912],15.897218581141775,-11.5605752764043,0.5287013241222536,0.2078196411140214,0.2075780119220746,37.96428623462048,1.7741192137997452,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,9.71803588859786
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_41,0,127,2,1,True,False,True,3.822399416711142,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_42,0,255,2,1,True,False,True,4.021713699536999,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_43,0,255,2,1,True,False,True,3.747008521396454,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_44,0,255,1,1,False,False,True,2.81637421908897,True,True,[],[   0.047991    0.022564     0.99859],18.70207344059181,-10.512618492877872,0.529658237928115,0.2118016984104987,0.2093585383019736,36.77561241477649,1.7636928144661943,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,9.31983015895013
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_44,0,127,2,1,True,False,True,4.014384316751965,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
