track_uid,n_frames_validos,calculated_length_cm,gt_cm,abs_error_cm,rel_error_perc,mean_elevation_deg,dataset,scenario,video_day,video_name,especie_gt
Dataset_1_2024_11_12_10-48-44_0_24,22.0,30.782862106245553,31.5,0.7171378937544475,2.276628234141103,-10.89729933615272,Dataset_1,single_fish,2024_11_12,10-48-44_0,lubina0
Dataset_1_2024_11_12_10-51-31_1_12,39.0,31.645636840139908,31.5,0.14563684013990752,0.46233917504732547,-10.209104616998829,Dataset_1,single_fish,2024_11_12,10-51-31_1,lubina0
Dataset_1_2024_11_12_10-51-31_1_29,10.0,30.98569328133744,31.5,0.5143067186625601,1.6327197417859052,-3.638290877406926,Dataset_1,single_fish,2024_11_12,10-51-31_1,lubina0
Dataset_1_2024_11_12_10-54-07_0_15,7.0,30.88773731384532,31.5,0.6122626861546792,1.9436910671577114,-7.881504130230317,Dataset_1,single_fish,2024_11_12,10-54-07_0,lubina0
Dataset_1_2024_11_12_10-54-07_0_38,20.0,32.68443336825525,31.5,1.1844333682552488,3.760105930969044,0.6373306825726961,Dataset_1,single_fish,2024_11_12,10-54-07_0,lubina0
Dataset_1_2024_11_12_10-58-20_0_15,31.0,40.54531480598058,31.5,9.045314805980581,28.71528509835105,-7.541783958675666,Dataset_1,single_fish,2024_11_12,10-58-20_0,lubina0
Dataset_1_2024_11_12_10-58-20_0_19,7.0,31.27140085220212,31.5,0.2285991477978797,0.7257115803107292,17.902885799085492,Dataset_1,single_fish,2024_11_12,10-58-20_0,lubina0
Dataset_1_2024_11_12_10-58-20_0_21,7.0,30.39043637630201,31.5,1.1095636236979907,3.522424202215843,-22.534068632210367,Dataset_1,single_fish,2024_11_12,10-58-20_0,lubina0
Dataset_1_2024_11_12_10-58-20_0_8,12.0,31.05779665194018,31.5,0.4422033480598202,1.4038201525708578,-2.796495658602094,Dataset_1,single_fish,2024_11_12,10-58-20_0,lubina0
Dataset_1_2024_11_12_11-00-27_0_1,10.0,32.0682044461661,31.5,0.5682044461660993,1.8038236386225377,-2.9836323025788176,Dataset_1,single_fish,2024_11_12,11-00-27_0,lubina0
Dataset_1_2024_11_12_11-00-27_0_12,17.0,33.163583371048276,31.5,1.6635833710482757,5.281217050946907,-8.131148478254481,Dataset_1,single_fish,2024_11_12,11-00-27_0,lubina0
Dataset_1_2024_11_12_11-00-27_0_21,15.0,29.435174043459988,31.5,2.0648259565400124,6.55500303663496,15.416376570004681,Dataset_1,single_fish,2024_11_12,11-00-27_0,lubina0
Dataset_1_2024_11_12_11-08-39_0_12,6.0,31.12821274796692,31.5,0.37178725203308005,1.1802769905812065,-2.973001797690412,Dataset_1,single_fish,2024_11_12,11-08-39_0,lubina0
Dataset_1_2024_11_12_11-08-39_0_14,6.0,31.31431758628312,31.5,0.18568241371687932,0.5894679800535851,4.113003545061169,Dataset_1,single_fish,2024_11_12,11-08-39_0,lubina0
Dataset_1_2024_11_12_11-08-39_0_20,7.0,30.912653089306207,31.5,0.5873469106937925,1.864593367281881,5.166866850015927,Dataset_1,single_fish,2024_11_12,11-08-39_0,lubina0
Dataset_1_2024_11_12_11-08-39_0_31,18.0,30.698143661083634,31.5,0.801856338916366,2.5455756790995743,-9.323136507436049,Dataset_1,single_fish,2024_11_12,11-08-39_0,lubina0
Dataset_1_2024_11_12_11-08-39_0_33,17.0,31.010469173912192,31.5,0.4895308260878082,1.5540661145644703,-8.036200518609355,Dataset_1,single_fish,2024_11_12,11-08-39_0,lubina0
Dataset_1_2024_11_12_11-08-39_0_56,10.0,31.13921802514997,31.5,0.36078197485003116,1.1453396026985116,0.385827877672628,Dataset_1,single_fish,2024_11_12,11-08-39_0,lubina0
Dataset_1_2024_11_12_11-10-51_0_16,19.0,31.514536072999398,31.5,0.014536072999398186,0.046146263490152974,-15.424125375952853,Dataset_1,single_fish,2024_11_12,11-10-51_0,lubina0
Dataset_1_2024_11_12_11-10-51_0_35,40.0,30.86403321986182,31.5,0.6359667801381796,2.0189421591688244,-10.553504178059779,Dataset_1,single_fish,2024_11_12,11-10-51_0,lubina0
Dataset_1_2024_11_12_11-10-51_0_42,30.0,31.26609458814924,31.5,0.23390541185075975,0.7425568630182849,0.7976634766988222,Dataset_1,single_fish,2024_11_12,11-10-51_0,lubina0
Dataset_1_2024_11_12_11-10-51_0_48,7.0,31.480823503875598,31.5,0.019176496124401865,0.060877765474291634,6.951711425589129,Dataset_1,single_fish,2024_11_12,11-10-51_0,lubina0
Dataset_1_2024_11_12_11-37-10_0_14,11.0,31.859717897998703,31.5,0.3597178979987028,1.1419615809482628,7.531370172612708,Dataset_1,single_fish,2024_11_12,11-37-10_0,lubina0
Dataset_1_2024_11_12_11-37-10_0_38,38.0,31.24538847988158,31.5,0.25461152011842003,0.8082905400584763,-10.521720628428366,Dataset_1,single_fish,2024_11_12,11-37-10_0,lubina0
Dataset_1_2024_11_28_12-52-36_0_12,32.0,30.247983655027145,28.9,1.3479836550271465,4.664303304592202,-4.323102254346649,Dataset_1,single_fish,2024_11_28,12-52-36_0,caballa
Dataset_1_2024_11_28_12-52-36_0_17,21.0,29.265528564045994,28.9,0.3655285640459951,1.264804719882336,-4.029621144338404,Dataset_1,single_fish,2024_11_28,12-52-36_0,caballa
Dataset_1_2024_11_28_12-52-36_0_7,114.0,28.97771719959048,28.9,0.07771719959048085,0.26891764564180226,-9.070795827868114,Dataset_1,single_fish,2024_11_28,12-52-36_0,caballa
Dataset_1_2024_11_28_12-54-48_0_1,14.0,29.16971372089638,28.9,0.26971372089638024,0.9332654702296895,-19.340714753954035,Dataset_1,single_fish,2024_11_28,12-54-48_0,caballa
Dataset_1_2024_11_28_12-54-48_0_12,77.0,29.043846656191196,28.9,0.1438466561911973,0.4977392947792294,-11.392121099014753,Dataset_1,single_fish,2024_11_28,12-54-48_0,caballa
Dataset_1_2024_11_28_12-54-48_0_15,72.0,29.18749478874019,28.9,0.2874947887401902,0.9947916565404505,-3.903655424539433,Dataset_1,single_fish,2024_11_28,12-54-48_0,caballa
Dataset_1_2024_11_28_12-54-48_0_19,10.0,28.96691749145442,28.9,0.06691749145442216,0.2315484133371009,-2.5175172704984297,Dataset_1,single_fish,2024_11_28,12-54-48_0,caballa
Dataset_1_2024_11_28_12-54-48_0_24,26.0,29.55747871038095,28.9,0.6574787103809498,2.275012838688408,0.6025754271848801,Dataset_1,single_fish,2024_11_28,12-54-48_0,caballa
Dataset_1_2024_11_28_12-54-48_0_27,36.0,28.718839348058374,28.9,0.18116065194162445,0.6268534669260362,-0.26667390573025745,Dataset_1,single_fish,2024_11_28,12-54-48_0,caballa
