video_day,source_folder,track_id,n_frames_validos,calculated_length_cm,gt_cm,abs_error_cm,mean_elevation_deg
2025_05_08,11_28_42_11-29-16_1,8,15.0,21.01863939199639,30.5,9.481360608003609,11.19564377579209
2025_05_08,11_48_14_11-48-15_0,18,5.0,24.64000012872744,33.5,8.85999987127256,-1.461008970665507
2025_05_08,12_02_02_12-02-02_0,11,9.0,26.773947073710403,33.5,6.726052926289597,12.247358756518217
2025_05_08,12_01_20_12-01-20_0,13,36.0,27.07071637838868,33.5,6.429283621611319,-3.4943364128814376
2025_05_08,12_00_39_12-00-39_0,3,16.0,26.785495073138836,30.5,3.7145049268611636,-5.289721954976425
2025_05_08,12_01_20_12-01-20_0,1,25.0,27.00152720545901,30.5,3.498472794540991,1.9853151136192475
2025_05_08,12_02_43_12-02-44_0,11,77.0,30.001974998953006,33.5,3.4980250010469938,3.077399151472961
2025_05_08,11_41_45_11-42-15_1,1,5.0,30.14259772427025,33.5,3.3574022757297506,18.22845429096402
2025_05_08,11_36_35_11-37-20_1,18,7.0,27.24559523005804,30.5,3.25440476994196,-1.8993641063478883
2025_05_08,12_02_02_12-02-02_0,16,68.0,27.422231417380317,30.5,3.077768582619683,4.220809096081378
2025_05_08,11_36_35_11-37-20_1,25,13.0,27.5649415869402,30.5,2.9350584130597994,10.342724538590277
2025_05_08,11_33_22_11-33-23_0,18,17.0,30.59773531703594,33.5,2.9022646829640593,12.66363202227759
2025_05_08,12_02_43_12-02-44_0,2,40.0,27.77684643756984,30.5,2.7231535624301593,0.18667836507558272
2025_05_08,12_00_39_12-00-39_0,14,136.0,31.10804996006067,33.5,2.3919500399393314,-4.11245089417891
2025_05_08,11_28_42_11-28-42_0,1,423.0,28.159273754995436,30.5,2.3407262450045643,-4.298203862611484
2025_05_08,11_49_52_11-49-52_0,14,115.0,31.346194765880718,33.5,2.1538052341192824,3.177160005435302
2025_05_08,11_41_45_11-41-45_0,8,31.0,31.446481467853875,33.5,2.053518532146125,11.069467938938566
2025_05_08,12_00_39_12-00-39_0,1,13.0,31.491053451805666,33.5,2.0089465481943343,7.2116877302174895
2025_05_08,12_01_20_12-01-20_0,9,132.0,28.507591487122962,30.5,1.992408512877038,12.960926708458896
2025_05_08,11_48_14_11-48-15_0,2,99.0,32.47374917247168,30.5,1.9737491724716776,-1.80275737508062
2025_05_08,11_33_22_11-33-23_0,10,62.0,32.33190395265156,30.5,1.8319039526515581,-9.61312420277516
2025_05_08,11_49_52_11-49-52_0,4,25.0,31.7553837662226,33.5,1.7446162337773998,-9.387374270069483
2025_05_08,11_36_35_11-36-36_0,13,102.0,28.800092049240156,30.5,1.6999079507598438,-0.42033539023880945
2025_05_08,11_57_58_11-57-59_0,4,166.0,31.89135342704534,33.5,1.6086465729546617,0.19078245797276747
2025_05_08,11_57_17_11-57-17_0,4,295.0,28.940944477560354,30.5,1.559055522439646,5.413117763386497
2025_05_08,11_33_22_11-33-23_0,1,195.0,32.02710107042852,33.5,1.4728989295714783,-3.4823831074504783
2025_05_08,11_59_57_11-59-57_0,20,84.0,29.05510786124709,30.5,1.444892138752909,5.523686397046649
2025_05_08,11_57_58_11-57-59_0,20,117.0,32.0639739706831,33.5,1.4360260293168992,-0.22202332472912784
2025_05_08,11_36_35_11-37-20_1,8,35.0,29.10272535763515,30.5,1.3972746423648488,-11.727854198191205
2025_05_08,12_02_02_12-02-02_0,2,36.0,29.103372307703022,30.5,1.3966276922969776,-8.880911640346717
2025_05_08,12_01_20_12-01-20_0,2,178.0,32.117957497395885,33.5,1.382042502604115,8.511553195198193
2025_05_08,11_57_58_11-57-59_0,16,89.0,29.143019618616524,30.5,1.356980381383476,0.20788163928069378
2025_05_08,11_48_14_11-48-15_0,13,22.0,32.22005117735676,33.5,1.2799488226432416,-9.56780343181667
2025_05_08,11_30_34_11-31-08_1,1,141.0,32.23911175193208,33.5,1.2608882480679213,-3.369172818116307
2025_05_08,11_44_47_11-44-48_0,3,50.0,29.269781179203125,30.5,1.2302188207968747,-6.701452580041538
2025_05_08,11_36_35_11-36-36_0,2,79.0,29.321216285886702,30.5,1.1787837141132975,2.924436849126733
2025_05_08,11_44_47_11-44-48_0,7,25.0,29.32957716175443,30.5,1.170422838245571,2.4165554567330547
2025_05_08,11_59_57_11-59-57_0,2,308.0,32.361847240279815,33.5,1.1381527597201853,-2.3951435059520727
2025_05_08,12_00_39_12-00-39_0,34,12.0,29.39022987078177,30.5,1.10977012921823,17.516026288821237
2025_05_08,12_02_43_12-02-44_0,3,37.0,32.40203345754551,33.5,1.0979665424544933,8.305479064151513
2025_05_08,11_59_57_11-59-57_0,24,20.0,32.40420461990087,33.5,1.0957953800991334,-6.19727262998405
2025_05_08,11_36_35_11-37-20_1,2,10.0,32.42712088136377,33.5,1.07287911863623,-17.08065573739996
2025_05_08,11_30_34_11-30-34_0,6,255.0,32.43067496479651,33.5,1.0693250352034909,-2.1179637515557075
2025_05_08,11_28_42_11-28-42_0,5,41.0,29.43907888400168,30.5,1.060921115998319,9.11556658642682
2025_05_08,12_00_39_12-00-39_0,39,117.0,29.43926037790114,30.5,1.0607396220988612,-4.587478196277432
